aaBlock,angle,axis,correct,correct_response,duration,model,orientation,response,response_time,time_Stimulus
practice,270,z,1,1,343,4,a,1,2519,3424
practice,315,z,1,3,4080,12,b,3,1117,7146
practice,270,z,1,1,6398,7,b,1,1437,9465
practice,90,y,1,3,9035,5,a,3,1386,12100
practice,315,y,1,3,11630,1,a,3,1301,14690
practice,90,z,1,3,14131,2,a,3,1485,17193
practice,90,y,1,3,16821,15,b,3,3967,19888
practice,225,z,1,1,21986,1,b,1,1127,25046
practice,45,y,1,1,24313,14,b,1,751,27375
practice,135,y,1,3,26262,16,a,3,2098,29340
practice,180,y,1,3,29558,3,b,3,1261,32617
practice,270,y,1,3,32017,13,b,3,849,35078
practice,45,y,1,3,34063,1,b,3,995,37124
practice,225,z,1,1,36260,7,a,1,1194,39324
practice,270,y,1,1,38664,12,a,1,8518,41728
practice,270,z,1,1,48380,8,a,1,820,51442
practice,135,z,1,3,50400,1,a,3,1482,53460
practice,45,y,1,3,53081,4,a,3,823,56143
practice,45,z,1,3,55119,2,b,3,1389,58184
practice,45,z,1,1,57724,13,a,1,739,60786
practice,0,0,1,3,59662,12,a,3,1283,62732
practice,45,z,1,3,62159,5,b,3,929,65220
practice,315,y,1,1,64286,15,a,1,5533,67345
practice,315,z,1,1,71018,16,b,1,1180,74082
practice,180,z,1,3,73396,10,a,3,2313,76461
practice,180,z,1,1,76922,6,a,1,7136,79982
practice,270,z,1,1,85256,2,a,1,787,88323
practice,180,z,1,3,87249,8,a,3,12438,90311
practice,135,z,0,1,100885,9,b,3,975,103944
practice,180,y,1,3,103058,8,b,3,1302,106119
practice,180,y,0,3,105558,3,a,1,2219,108619
practice,315,z,1,3,108983,2,b,3,1929,112045
practice,90,y,1,1,112111,12,a,1,1058,115173
practice,315,y,1,3,114371,6,b,3,1050,117436
practice,315,y,1,3,116619,5,a,3,3615,119679
practice,225,y,1,1,121434,4,b,1,1288,124495
practice,45,y,1,1,123943,5,b,1,2051,127003
practice,315,z,1,3,127207,7,b,3,1006,130272
practice,135,z,1,1,129413,9,a,1,1071,132471
practice,135,y,1,1,131682,15,b,1,1418,134740
practice,45,z,1,3,134300,15,b,3,931,137372
practice,135,z,1,1,136431,3,a,1,819,139491
practice,315,y,1,1,138447,11,a,1,2201,141508
practice,90,y,1,1,141849,3,b,1,1202,144916
practice,180,y,1,3,144256,13,b,3,1191,147318
practice,270,z,0,1,146645,1,b,3,6284,149707
practice,225,y,1,1,154125,15,a,1,1846,157185
practice,180,z,1,3,157181,7,b,3,8992,160246
practice,225,y,1,3,167372,8,a,3,2237,170433
practice,135,y,1,3,170827,11,a,3,11628,173898
practice,315,z,1,3,183668,8,b,3,2978,186733
practice,180,z,1,1,187848,9,b,1,3040,190911
practice,135,z,1,3,192089,5,a,3,1126,195152
practice,0,0,1,1,194413,14,a,1,794,197475
practice,90,z,1,1,196405,6,b,1,1179,199468
practice,315,z,1,3,198784,7,a,3,4570,201844
practice,270,z,1,1,204553,10,a,1,1197,207618
practice,135,y,1,1,206962,7,a,1,2208,210022
practice,180,z,1,3,210369,6,b,3,1141,213432
practice,90,y,1,3,212714,8,b,3,1159,215775
practice,315,z,1,3,215092,15,b,3,1212,218155
practice,90,y,1,3,217506,4,a,3,4472,220574
practice,270,z,1,3,223178,3,a,3,1167,226240
practice,180,z,1,1,225542,16,b,1,1172,228602
practice,90,z,1,1,227912,12,a,1,1169,230974
practice,90,y,1,1,230279,13,a,1,727,233343
practice,90,z,1,3,232205,10,b,3,1300,235266
practice,45,y,1,1,234712,3,b,1,4476,237777
practice,135,z,1,3,240389,12,a,3,2087,243448
practice,225,z,1,1,243678,14,b,1,1020,246755
practice,315,z,1,1,245898,6,b,1,828,248954
practice,270,y,1,1,247941,14,b,1,892,251003
practice,315,z,1,3,250044,4,a,3,1007,253103
practice,315,y,1,3,252249,9,a,3,5095,255311
practice,45,y,1,3,258543,16,a,3,1266,261603
practice,45,y,1,3,261006,16,b,3,1209,264068
practice,90,z,1,3,263425,8,b,3,1129,266485
practice,90,z,1,3,265752,1,b,3,1133,268817
practice,225,y,1,3,268084,8,b,3,1469,271146
practice,90,z,1,1,270753,9,b,1,1202,273820
practice,315,z,1,1,273175,11,b,1,11273,276236
practice,315,z,1,1,285646,9,a,1,1584,288709
practice,225,z,1,3,288435,4,a,3,3492,291498
practice,0,0,1,1,293124,4,a,1,1283,296187
practice,135,y,1,1,295606,3,b,1,1386,298668
practice,90,y,1,1,298189,6,b,1,972,301250
practice,135,y,1,1,300370,4,a,1,930,303428
practice,90,z,1,3,302500,12,b,3,1527,305560
practice,270,y,1,1,305226,6,a,1,1031,308287
practice,45,z,1,1,307459,12,a,1,1726,310528
practice,225,y,1,3,310385,10,b,3,1091,313451
practice,90,z,1,1,312678,4,a,1,765,315738
practice,90,z,1,1,314641,15,b,1,2317,317705
practice,270,z,1,1,318156,12,a,1,934,321217
practice,0,0,1,1,320301,4,b,1,4812,323363
practice,180,y,1,1,326318,8,a,1,914,329381
practice,135,y,1,1,328435,13,b,1,999,331494
practice,45,y,1,3,330644,13,a,3,974,333704
practice,225,y,1,1,332818,5,b,1,1290,335884
practice,270,y,1,1,335308,3,a,1,821,338369
practice,315,z,1,3,337330,4,b,3,922,340396
practice,0,0,1,3,339450,10,a,3,5492,342522
practice,45,y,1,1,346138,15,b,1,788,349202
practice,45,z,1,3,348130,14,a,3,1047,351200
practice,45,y,1,3,350377,14,a,3,928,353446
practice,315,z,1,1,352505,15,a,1,750,355568
practice,315,z,1,1,354455,5,b,1,944,357518
practice,270,y,1,1,356596,7,a,1,786,359659
practice,225,y,1,3,358596,10,a,3,1313,361662
practice,315,y,1,1,361116,3,a,1,2775,364184
practice,270,z,1,1,365091,5,b,1,1272,368150
practice,45,z,1,3,367560,1,a,3,930,370643
practice,135,z,1,3,369704,7,b,3,1048,372766
practice,0,0,1,3,371951,13,b,3,827,375011
practice,45,y,1,3,373980,10,a,3,1307,377043
practice,90,y,1,3,376486,16,b,3,12016,379549
practice,90,y,1,3,389701,3,a,3,939,392764
practice,270,y,1,3,391838,8,a,3,1074,394901
practice,90,y,1,1,394112,13,b,1,796,397179
practice,180,y,1,1,396107,5,a,1,1232,399166
practice,45,y,1,3,398541,2,a,3,806,401601
practice,270,y,1,3,400553,9,a,3,1217,403614
practice,315,y,1,3,402970,15,b,3,2546,406028
practice,180,z,1,1,406713,15,a,1,1857,409774
practice,270,z,1,3,409769,16,a,3,1063,412832
practice,270,y,1,3,412051,14,a,3,1078,415112
practice,90,y,1,1,414328,15,a,1,906,417389
