block	model	mirror	angle	time	response	time2	diff	type
practice1	Modell6A	originalZ135	12	1433.1	1	51461.3	50028.2	rm_hit
practice3	Modell6B	originalZ135	12	126697.6	1	140308.8	13611.2	rm_incorrect
practice3	Modell14B	originalY225	19	141345.4	1	150740.7	9395.3	rm_incorrect
practice3	Modell14A	mirroredY180	17	151777.1	1	169392.3	17615.2	rm_incorrect
main1	Modell6A	originalZ135	12	181572.7	1	196561.1	14988.4	rm_hit
main1	Modell14B	originalY225	19	197087	2	197661.3	574.3	rm_hit
main1	Modell14A	mirroredY180	17	198186.8	1	199362.5	1175.7	rm_incorrect
main1	Modell16B	mirroredZ180	18	199886.6	2	200157.1	270.5	rm_incorrect
main1	Modell7A	originalY0	1	200686.5	1	201573.2	886.7	rm_hit
main1	Modell11A	originalY270	23	202102.9	2	202398.5	295.6	rm_incorrect
main1	Modell6A	mirroredY180	17	202936.1	1	203845.1	909	rm_incorrect
main1	Modell13B	mirroredY135	13	204369.2	2	204598.9	229.7	rm_incorrect
main1	Modell5B	originalZ135	12	205135.8	1	205872.4	736.6	rm_incorrect
main1	Modell15B	originalY45	3	206402.3	2	206616	213.7	rm_hit
main1	Modell15B	originalZ180	16	207152.2	1	207767.1	614.9	rm_incorrect
main1	Modell2A	mirroredY135	13	208302	2	208531.1	229.1	rm_hit
main1	Modell7B	originalZ225	20	209068.5	1	209610.9	542.4	rm_incorrect
main1	Modell11A	mirroredZ45	6	210135	2	210446.2	311.2	rm_hit
main1	Modell9B	originalZ135	12	210968.3	1	211515.7	547.4	rm_incorrect
main1	Modell8B	mirroredZ45	6	212051.4	2	212372.3	320.9	rm_incorrect
main1	Modell10A	mirroredZ90	10	212901.3	1	227437.9	14536.6	rm_incorrect
main2	Modell6A	originalZ135	12	241580.3	2	255647.8	14067.5	rm_incorrect
main2	Modell14A	originalY225	19	256178.1	2	256603.5	425.4	rm_incorrect
main2	Modell14A	mirroredY180	17	257128	2	257520.2	392.2	rm_hit
main2	Modell16A	mirroredZ180	18	258044.5	2	258345.2	300.7	rm_hit
main2	Modell7A	originalY0	1	258877.7	1	259119.5	241.8	rm_hit
main2	Modell11A	originalY270	23	259644.3	2	259812	167.7	rm_incorrect
main2	Modell6B	mirroredY180	17	260344.2	1	260535.5	191.3	rm_hit
main2	Modell13B	mirroredY135	13	261060.7	2	261299.6	238.9	rm_incorrect
main2	Modell5B	originalZ135	12	261827.3	1	261971.9	144.6	rm_incorrect
main2	Modell15A	originalY45	3	262493.8	2	262695.1	201.3	rm_incorrect
main2	Modell15A	originalZ180	16	263227.1	1	263449	221.9	rm_hit
main2	Modell2A	mirroredY135	13	263977	2	264192.8	215.8	rm_hit
main2	Modell7A	originalZ225	20	264726.8	1	264946.7	219.9	rm_hit
main2	Modell11B	mirroredZ45	6	265476.7	2	282011.5	16534.8	rm_incorrect
main2	Modell9B	originalZ135	12	282540.8	2	287408.5	4867.7	rm_hit
main3	Modell6B	originalZ135	12	310103.4	1	312884	2780.6	rm_incorrect
main3	Modell14B	originalY225	19	313419.5	2	314157.2	737.7	rm_hit
main3	Modell14A	mirroredY180	17	314686	1	315002.5	316.5	rm_incorrect
main3	Modell16A	mirroredZ180	18	315535.9	2	315817.2	281.3	rm_hit
main3	Modell7B	originalY0	1	316352.4	1	316611.8	259.4	rm_incorrect
main3	Modell11B	originalY270	23	317135.6	2	317681.4	545.8	rm_hit
main3	Modell6A	mirroredY180	17	318218.8	1	322988.7	4769.9	rm_incorrect
main3	Modell13B	mirroredY135	13	323518	2	387114.6	63596.6	rm_incorrect
