"aaBlock","aaID","angle","axis","correct","correct_response","duration","model","orientation","response","response_time","time_Stimulus"
"practice","1574675917.23","180","z","1","3","526","14","b","3","1796","4003"
"practice","1574675917.23","225","z","0","1","3525","8","b","3","1832","6924"
"practice","1574675917.23","270","z","1","1","6561","12","b","1","1845","9962"
"practice","1574675917.23","270","y","1","3","9594","2","b","3","1404","12994"
"practice","1574675917.23","0","0","1","3","12185","3","b","3","1878","15579"
"practice","1574675917.23","0","0","1","1","15268","10","b","1","978","18662"
"practice","1574675917.23","45","y","1","1","17439","10","b","1","1961","20832"
"practice","1574675917.23","90","y","1","1","20585","11","b","1","2639","23979"
"practice","1574675917.23","225","z","1","3","24413","14","b","3","1374","27814"
"practice","1574675917.23","45","z","1","1","26996","7","a","1","1132","30392"
"practice","1574675917.23","315","y","1","1","29318","3","b","1","1715","32715"
"practice","1574675917.23","315","z","1","1","32221","15","b","1","1520","35615"
"practice","1574675917.23","180","y","1","3","34943","4","a","3","1356","38337"
"practice","1574675917.23","225","y","1","1","37485","16","b","1","410527","40878"
"practice","1574675917.23","45","z","1","3","449216","6","a","3","1810","452636"
"practice","1574675917.23","180","y","1","1","452228","16","a","1","5781","455631"
"practice","1574675917.23","180","z","1","1","459200","5","b","1","1412","462590"
"practice","1574675917.23","225","z","0","3","461794","15","a","1","5725","465182"
"practice","1574675917.23","225","y","1","1","468704","9","a","1","5330","472102"
"practice","1574675917.23","45","z","1","1","475233","9","b","1","1363","478622"
"practice","1574675917.23","90","z","1","1","477791","7","a","1","19424","481179"
"practice","1574675917.23","135","z","1","1","498422","6","a","1","3336","501811"
"practice","1574675917.23","180","y","1","1","502948","5","b","1","2955","506338"
"practice","1574675917.23","270","y","1","1","507102","10","a","1","1025","510491"
"practice","1574675917.23","225","z","1","1","509320","9","a","1","1138","512713"
"practice","1574675917.23","180","z","1","1","511653","12","a","1","1268","515044"
"practice","1574675917.23","45","z","1","3","514116","1","a","3","1220","517506"
"practice","1574675917.23","90","y","1","3","516521","2","b","3","835","519911"
"practice","1574675917.23","90","y","1","1","518546","10","b","1","1429","521938"
"practice","1574675917.23","0","0","1","3","521160","16","b","3","807","524558"
"practice","1574675917.23","45","z","1","1","523157","13","a","1","725","526547"
"practice","1574675917.23","90","y","1","3","525070","1","b","3","946","528458"
"practice","1574675917.23","90","y","1","1","527202","14","a","1","725","530596"
"practice","1574675917.23","0","0","1","1","529117","15","a","1","657","532510"
"practice","1574675917.23","270","z","1","3","530964","4","a","3","32527","534361"
"practice","1574675917.23","180","y","1","3","564681","12","b","3","1220","568072"
"practice","1574675917.23","315","y","1","1","567090","4","b","1","1729","570480"
"practice","1574675917.23","225","y","1","1","570013","3","b","1","1712","573404"
