"";"deg";"cond";"reactionTimeSd";"reactionTime";"accSd";"acc"
"1";"  0";"0*Y";" 571.1";"1930";"0.06088";"0.9482"
"2";" 45";"-*Y";"1004.4";"2774";"0.09715";"0.9348"
"3";" 45";"-*Z";" 989.7";"2872";"0.10584";"0.9239"
"4";" 45";"+*Y";" 930.0";"2809";"0.10779";"0.9171"
"5";" 45";"+*Z";"1044.8";"3039";"0.09700";"0.9079"
"6";" 90";"-*Y";"1054.4";"3616";"0.10920";"0.8860"
"7";" 90";"-*Z";"1173.0";"3753";"0.15311";"0.8468"
"8";" 90";"+*Y";"1262.1";"3724";"0.12076";"0.8722"
"9";" 90";"+*Z";"1163.0";"3772";"0.12371";"0.8685"
"10";"135";"-*Y";"1708.6";"4491";"0.13414";"0.8341"
"11";"135";"-*Z";"1570.3";"4418";"0.12436";"0.8574"
"12";"135";"+*Y";"1631.7";"4249";"0.16033";"0.8317"
"13";"135";"+*Z";"1408.4";"4099";"0.10967";"0.8911"
"14";"180";"0*Y";"1654.3";"4994";"0.15606";"0.7979"
"15";"180";"0*Z";"1439.4";"4565";"0.10638";"0.8717"
