"";"deg";"cond";"reactionTimeSd";"reactionTime";"accSd";"acc"
"1";"  0";"Left*Y";" 643.0";"1824";"0.04460";"0.9739"
"2";"  0";"Right*Y";" 577.7";"2074";"0.12337";"0.9138"
"3";" 45";"Left*Y";" 901.6";"2735";"0.11630";"0.9248"
"4";" 45";"Left*Z";" 997.6";"2920";"0.08679";"0.9126"
"5";" 45";"Right*Y";" 974.2";"2826";"0.08387";"0.9266"
"6";" 45";"Right*Z";"1000.8";"2979";"0.11763";"0.9169"
"7";" 90";"Left*Y";"1085.0";"3586";"0.10789";"0.8807"
"8";" 90";"Left*Z";"1185.8";"3766";"0.12800";"0.8607"
"9";" 90";"Right*Y";"1176.6";"3724";"0.11884";"0.8775"
"10";" 90";"Right*Z";"1198.9";"3785";"0.15781";"0.8562"
"11";"135";"Left*Y";"1703.5";"4325";"0.15859";"0.8263"
"12";"135";"Left*Z";"1372.9";"4211";"0.11343";"0.8740"
"13";"135";"Right*Y";"1616.5";"4423";"0.12069";"0.8431"
"14";"135";"Right*Z";"1536.3";"4276";"0.11346";"0.8752"
"15";"180";"Left*Y";"1640.1";"5025";"0.18646";"0.7705"
"16";"180";"Left*Z";"1557.0";"4642";"0.13731";"0.8549"
"17";"180";"Right*Y";"1752.4";"4920";"0.16099";"0.8212"
"18";"180";"Right*Z";"1507.2";"4551";"0.10232";"0.8897"
