"";"deg";"cond";"reactionTimeSd";"reactionTime";"accSd";"acc"
"1";"  0";"Left*FALSE";" 565.1";"1754";"0.06998";"0.9637"
"2";"  0";"Left*TRUE";" 740.0";"1836";"0.05901";"0.9854"
"3";"  0";"Right*FALSE";" 951.1";"2248";"0.15933";"0.8967"
"4";"  0";"Right*TRUE";" 439.2";"1967";"0.12829";"0.9289"
"5";" 45";"Left*FALSE";"1090.4";"2890";"0.10845";"0.9235"
"6";" 45";"Left*TRUE";" 899.3";"2786";"0.09142";"0.9169"
"7";" 45";"Right*FALSE";" 837.5";"2860";"0.11101";"0.9240"
"8";" 45";"Right*TRUE";"1117.9";"2937";"0.08763";"0.9207"
"9";" 90";"Left*FALSE";"1075.7";"3622";"0.11382";"0.8677"
"10";" 90";"Left*TRUE";"1133.6";"3723";"0.12945";"0.8735"
"11";" 90";"Right*FALSE";"1143.6";"3750";"0.14398";"0.8636"
"12";" 90";"Right*TRUE";"1211.3";"3748";"0.11844";"0.8788"
"13";"135";"Left*FALSE";"1466.6";"4262";"0.13261";"0.8442"
"14";"135";"Left*TRUE";"1551.8";"4247";"0.13261";"0.8537"
"15";"135";"Right*FALSE";"1418.8";"4315";"0.12655";"0.8519"
"16";"135";"Right*TRUE";"1630.9";"4350";"0.09471";"0.8698"
"17";"180";"Left*FALSE";"1573.7";"4846";"0.18060";"0.7907"
"18";"180";"Left*TRUE";"1610.3";"4750";"0.16167";"0.8272"
"19";"180";"Right*FALSE";"1575.4";"4767";"0.12638";"0.8828"
"20";"180";"Right*TRUE";"1710.7";"4692";"0.13018";"0.8311"
