"";"deg";"cond";"reactionTimeSd";"reactionTime";"accSd";"acc"
"1";"  0";"Left*a";" 740.0";"1836";"0.05901";"0.9854"
"2";"  0";"Left*b";" 565.1";"1754";"0.06998";"0.9637"
"3";"  0";"Right*a";" 439.2";"1967";"0.12829";"0.9289"
"4";"  0";"Right*b";" 951.1";"2248";"0.15933";"0.8967"
"5";" 45";"Left*a";" 899.3";"2786";"0.09142";"0.9169"
"6";" 45";"Left*b";"1090.4";"2890";"0.10845";"0.9235"
"7";" 45";"Right*a";"1117.9";"2937";"0.08763";"0.9207"
"8";" 45";"Right*b";" 837.5";"2860";"0.11101";"0.9240"
"9";" 90";"Left*a";"1133.6";"3723";"0.12945";"0.8735"
"10";" 90";"Left*b";"1075.7";"3622";"0.11382";"0.8677"
"11";" 90";"Right*a";"1211.3";"3748";"0.11844";"0.8788"
"12";" 90";"Right*b";"1143.6";"3750";"0.14398";"0.8636"
"13";"135";"Left*a";"1551.8";"4247";"0.13261";"0.8537"
"14";"135";"Left*b";"1466.6";"4262";"0.13261";"0.8442"
"15";"135";"Right*a";"1630.9";"4350";"0.09471";"0.8698"
"16";"135";"Right*b";"1418.8";"4315";"0.12655";"0.8519"
"17";"180";"Left*a";"1610.3";"4750";"0.16167";"0.8272"
"18";"180";"Left*b";"1573.7";"4846";"0.18060";"0.7907"
"19";"180";"Right*a";"1710.7";"4692";"0.13018";"0.8311"
"20";"180";"Right*b";"1575.4";"4767";"0.12638";"0.8828"
