"";"deg";"cond";"reactionTimeSd";"reactionTime";"accSd";"acc"
"1";"  0";"m1";" 745.6";"1841";"0.11871";"0.9671"
"2";"  0";"m10";" 692.6";"1924";"0.11315";"0.9737"
"3";"  0";"m11";"    NA";" NaN";"     NA";"   NaN"
"4";"  0";"m12";"    NA";" NaN";"0.15811";"0.9750"
"5";"  0";"m13";" 651.7";"1659";"0.15551";"0.9474"
"6";"  0";"m14";"    NA";" NaN";"     NA";"   NaN"
"7";"  0";"m15";" 499.9";"1726";"0.10728";"0.9701"
"8";"  0";"m16";"    NA";" NaN";"     NA";"   NaN"
"9";"  0";"m2";"    NA";" NaN";"0.17940";"0.9605"
"10";"  0";"m3";" 899.2";"1867";"0.18022";"0.9333"
"11";"  0";"m4";"    NA";" NaN";"0.20037";"0.9524"
"12";"  0";"m5";"    NA";" NaN";"     NA";"   NaN"
"13";"  0";"m6";" 587.1";"1797";"0.05556";"0.9907"
"14";"  0";"m7";"    NA";" NaN";"0.27099";"0.8816"
"15";"  0";"m8";"    NA";" NaN";"     NA";"   NaN"
"16";"  0";"m9";"    NA";" NaN";"0.20369";"0.9298"
"17";" 45";"m1";"1353.7";"3067";"0.11453";"0.9587"
"18";" 45";"m10";"1645.3";"3230";"0.15674";"0.9083"
"19";" 45";"m11";"    NA";" NaN";"0.20219";"0.8557"
"20";" 45";"m12";"1291.8";"3094";"0.13819";"0.8805"
"21";" 45";"m13";" 929.9";"2358";"0.09274";"0.9611"
"22";" 45";"m14";" 872.5";"2410";"0.13666";"0.9341"
"23";" 45";"m15";"1106.6";"2934";"0.12613";"0.9247"
"24";" 45";"m16";" 910.1";"2714";"0.12527";"0.9111"
"25";" 45";"m2";"1190.2";"2837";"0.08311";"0.9527"
"26";" 45";"m3";"1468.2";"2775";"0.08001";"0.9596"
"27";" 45";"m4";" 780.2";"2387";"0.13308";"0.9392"
"28";" 45";"m5";"1406.4";"3004";"0.14228";"0.8933"
"29";" 45";"m6";"1109.2";"3018";"0.13427";"0.9151"
"30";" 45";"m7";"1108.1";"2822";"0.18393";"0.9029"
"31";" 45";"m8";" 887.8";"2914";"0.10343";"0.9331"
"32";" 45";"m9";"    NA";" NaN";"     NA";"   NaN"
"33";" 90";"m1";"1310.0";"3937";"0.19088";"0.8594"
"34";" 90";"m10";"    NA";" NaN";"     NA";"   NaN"
"35";" 90";"m11";"    NA";" NaN";"0.22954";"0.7940"
"36";" 90";"m12";"    NA";" NaN";"0.18516";"0.7554"
"37";" 90";"m13";"1684.2";"3288";"0.13255";"0.9125"
"38";" 90";"m14";"1028.9";"3275";"0.16871";"0.8950"
"39";" 90";"m15";"1148.6";"3552";"0.17732";"0.8849"
"40";" 90";"m16";"1637.9";"4031";"0.17921";"0.8842"
"41";" 90";"m2";"1583.0";"3729";"0.15599";"0.8902"
"42";" 90";"m3";"    NA";" NaN";"0.20523";"0.8756"
"43";" 90";"m4";"1198.1";"3148";"0.15449";"0.8926"
"44";" 90";"m5";"1448.6";"3804";"0.18168";"0.8826"
"45";" 90";"m6";"1298.4";"3713";"0.20073";"0.8657"
"46";" 90";"m7";"1532.0";"3760";"0.16079";"0.8623"
"47";" 90";"m8";"1279.5";"3957";"0.11952";"0.9300"
"48";" 90";"m9";"1590.9";"3659";"0.14972";"0.8822"
"49";"135";"m1";"1669.9";"4536";"0.15825";"0.8783"
"50";"135";"m10";"    NA";" NaN";"     NA";"   NaN"
"51";"135";"m11";"    NA";" NaN";"     NA";"   NaN"
"52";"135";"m12";"    NA";" NaN";"     NA";"   NaN"
"53";"135";"m13";"1624.1";"3486";"0.10257";"0.9127"
"54";"135";"m14";"1664.6";"3733";"0.13109";"0.9061"
"55";"135";"m15";"1866.6";"4275";"0.19676";"0.8610"
"56";"135";"m16";"1935.9";"4781";"0.14240";"0.8590"
"57";"135";"m2";"    NA";" NaN";"0.21662";"0.8390"
"58";"135";"m3";"1923.4";"3992";"0.15775";"0.8699"
"59";"135";"m4";"2029.6";"3886";"0.14150";"0.8998"
"60";"135";"m5";"1429.2";"4348";"0.16653";"0.8519"
"61";"135";"m6";"1630.4";"4345";"0.16436";"0.8647"
"62";"135";"m7";"1616.3";"4206";"0.18988";"0.8763"
"63";"135";"m8";"2204.2";"4592";"0.13204";"0.9052"
"64";"135";"m9";"    NA";" NaN";"0.22729";"0.8069"
"65";"180";"m1";"    NA";" NaN";"0.22279";"0.8528"
"66";"180";"m10";"    NA";" NaN";"     NA";"   NaN"
"67";"180";"m11";"    NA";" NaN";"0.24887";"0.7280"
"68";"180";"m12";"    NA";" NaN";"     NA";"   NaN"
"69";"180";"m13";"1403.6";"3718";"0.19073";"0.8616"
"70";"180";"m14";"1982.3";"4104";"0.17864";"0.8924"
"71";"180";"m15";"    NA";" NaN";"0.28120";"0.8471"
"72";"180";"m16";"1887.4";"4701";"0.20729";"0.8475"
"73";"180";"m2";"    NA";" NaN";"     NA";"   NaN"
"74";"180";"m3";"1711.8";"4218";"0.17207";"0.9025"
"75";"180";"m4";"    NA";" NaN";"     NA";"   NaN"
"76";"180";"m5";"    NA";" NaN";"0.21863";"0.8809"
"77";"180";"m6";"    NA";" NaN";"0.27696";"0.8071"
"78";"180";"m7";"    NA";" NaN";"     NA";"   NaN"
"79";"180";"m8";"    NA";" NaN";"     NA";"   NaN"
"80";"180";"m9";"    NA";" NaN";"0.26931";"0.7394"
