"aaBlock","aaID","angle","axis","correct","correct_response","duration","model","orientation","orientationLeftBase","response","response_time","time_Stimulus"
"practice","1579195156.24","135","z","0","3","113","13","b","a","1","871","4300"
"main","1579195156.24","90","y","1","1","103","8","a","a","1","370","8040"
"main","1579195156.24","225","y","0","3","973","3","b","a","1","301","8909"
"main","1579195156.24","90","z","1","1","1774","13","a","a","1","198","9715"
"main","1579195156.24","90","z","0","3","2472","14","a","b","1","251","10407"
"main","1579195156.24","180","y","0","3","3224","8","a","b","1","274","11160"
"main","1579195156.24","135","z","1","1","3998","2","b","b","1","252","11941"
"main","1579195156.24","180","z","1","1","4750","6","b","b","1","217","12689"
"main","1579195156.24","315","y","1","1","5467","11","b","b","1","231","13403"
"main","1579195156.24","0","0","1","1","6198","15","a","a","1","245","14140"
"main","1579195156.24","90","z","0","3","6943","11","b","a","1","259","14878"
"main","1579195156.24","225","z","1","1","7702","16","b","b","1","197","15645"
"main","1579195156.24","0","0","1","1","8399","6","a","a","1","437","16341"
"main","1579195156.24","270","z","1","1","9336","16","b","b","1","146","17272"
"main","1579195156.24","180","y","0","3","9982","9","b","a","1","181","17925"
"main","1579195156.24","45","y","0","3","10663","5","b","a","1","131","18600"
"main","1579195156.24","135","z","1","1","11294","4","b","b","1","174","19236"
"main","1579195156.24","225","z","1","1","11968","8","b","b","1","167","19907"
"main","1579195156.24","225","y","0","3","12637","16","a","b","1","182","20579"
"main","1579195156.24","225","z","1","1","13319","6","a","a","1","237","21262"
"main","1579195156.24","135","y","0","3","14056","12","b","a","1","219","21992"
"main","1579195156.24","315","z","0","3","14775","12","b","a","1","275","22711"
"main","1579195156.24","270","y","1","1","15550","3","b","b","1","477","23493"
"main","1579195156.24","180","z","1","1","16528","14","a","a","1","237","24468"
"main","1579195156.24","180","y","1","1","17265","10","a","a","1","159","25202"
"main","1579195156.24","180","y","0","3","17924","7","a","b","1","174","25861"
"main","1579195156.24","225","y","0","3","18599","2","b","a","1","218","26542"
"main","1579195156.24","315","y","1","1","19317","1","b","b","1","230","27259"
"main","1579195156.24","135","z","1","1","20048","14","b","b","1","187","27983"
"main","1579195156.24","90","z","0","3","20735","15","b","a","1","156","28670"
"main","1579195156.24","270","z","1","1","21391","4","a","a","1","213","29333"
"main","1579195156.24","270","y","0","3","22104","10","a","b","1","227","30040"
"main","1579195156.24","45","y","1","1","22831","3","b","b","1","186","30767"
"main","1579195156.24","270","y","0","3","23517","8","a","b","1","159","31460"
"main","1579195156.24","0","0","1","1","24176","7","a","a","1","222","32117"
"main","1579195156.24","270","z","0","3","24898","8","a","b","1","154","32833"
"main","1579195156.24","0","0","0","3","25552","4","b","a","1","123","33495"
"main","1579195156.24","45","z","0","3","26175","4","a","b","1","204","34118"
"main","1579195156.24","45","y","1","1","26880","3","a","a","1","155","34815"
"main","1579195156.24","45","z","0","3","27535","5","a","b","1","196","35471"
"main","1579195156.24","225","z","0","3","28231","14","b","a","1","93","36166"
