"aaBlock","aaID","angle","axis","correct","correct_response","duration","model","orientation","orientationLeftBase","response","response_time","time_Stimulus"
"practice","1579443529.45","225","y","0","3","90","13","a","b","1","558","2843"
"practice","1579443529.45","45","z","1","1","1651","12","a","a","1","262","4404"
"practice","1579443529.45","180","z","0","3","2916","2","b","a","1","517","5669"
"practice","1579443529.45","180","y","1","3","4436","10","a","b","3","270","7189"
"practice","1579443529.45","90","y","0","3","5709","9","b","a","1","212","8462"
"practice","1579443529.45","180","y","1","1","6924","6","a","a","1","221","9685"
"practice","1579443529.45","90","z","0","3","8156","11","b","a","1","389","10910"
"practice","1579443529.45","135","y","1","1","9549","7","a","a","1","500","12302"
"practice","1579443529.45","180","z","0","3","11052","16","a","b","1","618","13807"
"practice","1579443529.45","270","z","0","3","12675","6","a","b","1","663","15428"
"practice","1579443529.45","180","y","1","3","14341","15","b","a","3","284","17102"
"practice","1579443529.45","90","y","1","1","15636","7","b","b","1","405","18389"
"practice","1579443529.45","270","y","1","1","17044","11","b","b","1","148","19798"
"practice","1579443529.45","45","z","1","1","18196","7","a","a","1","476","20950"
"practice","1579443529.45","45","y","1","3","19676","12","b","a","3","317","22429"
"practice","1579443529.45","315","y","0","3","20996","12","b","a","1","277","23749"
"practice","1579443529.45","315","z","0","3","22276","12","b","a","1","668","25030"
"practice","1579443529.45","270","y","0","3","23949","12","a","b","1","668","26702"
"practice","1579443529.45","180","z","0","3","25620","15","b","a","1","887","28372"
"practice","1579443529.45","45","z","1","3","27509","16","b","a","3","275","30263"
"practice","1579443529.45","225","y","1","1","28789","6","b","b","1","292","31543"
"practice","1579443529.45","135","z","0","3","30085","15","a","b","1","402","32841"
"practice","1579443529.45","45","y","0","3","31493","4","a","b","1","781","34246"
"practice","1579443529.45","270","y","0","3","33278","11","a","b","1","802","36032"
"practice","1579443529.45","45","z","1","3","35084","1","a","b","3","757","37837"
"practice","1579443529.45","90","y","1","1","36844","13","b","b","1","668","39599"
"practice","1579443529.45","90","z","0","3","38517","15","b","a","1","675","41271"
"practice","1579443529.45","180","z","1","1","40196","11","b","b","1","332","42949"
"practice","1579443529.45","225","z","0","3","41531","8","b","a","1","607","44291"
"practice","1579443529.45","315","y","0","3","43150","9","b","a","1","342","45907"
"practice","1579443529.45","270","y","0","3","44500","16","a","b","1","219","47255"
"practice","1579443529.45","225","z","1","3","45724","1","b","a","3","3148","48478"
"practice","1579443529.45","180","z","1","3","49876","1","b","a","3","573","52629"
"practice","1579443529.45","135","z","1","1","51452","8","b","b","1","900","54206"
"practice","1579443529.45","135","z","1","1","53356","3","a","a","1","701","56109"
"practice","1579443529.45","135","y","1","1","55061","11","a","a","1","797","57814"
"practice","1579443529.45","135","z","1","1","56861","12","b","b","1","909","59613"
"practice","1579443529.45","135","y","1","3","58773","8","b","a","3","860","61526"
"main","1579443529.45","45","y","0","3","82","10","b","a","1","506","64969"
"main","1579443529.45","45","y","1","3","1091","16","a","b","3","392","65978"
"main","1579443529.45","270","z","0","3","1986","13","a","b","1","299","66879"
"main","1579443529.45","270","y","0","3","2794","9","a","b","1","256","67682"
"main","1579443529.45","90","y","0","1","3554","11","a","a","3","217","68441"
"main","1579443529.45","180","z","0","1","4274","15","a","a","3","184","69162"
"main","1579443529.45","270","z","0","3","4962","11","a","b","1","208","69851"
"main","1579443529.45","45","y","0","3","5675","7","b","a","1","216","70562"
"main","1579443529.45","0","0","0","1","6394","6","b","b","3","207","71282"
"main","1579443529.45","315","y","0","3","7105","13","a","b","1","154","71992"
"main","1579443529.45","0","0","1","3","7762","4","a","b","3","223","72650"
"main","1579443529.45","270","z","1","1","8489","12","a","a","1","152","73379"
"main","1579443529.45","135","z","1","3","9147","2","b","a","3","224","74034"
"main","1579443529.45","135","y","0","1","9874","4","b","b","3","138","74761"
"main","1579443529.45","45","z","0","3","10515","14","b","a","1","120","75409"
"main","1579443529.45","225","z","0","3","11145","12","a","b","1","202","76032"
"main","1579443529.45","90","y","0","1","11851","10","a","a","3","165","76741"
"main","1579443529.45","135","z","0","1","12522","7","b","b","3","130","77409"
"main","1579443529.45","90","y","1","1","13155","3","b","b","1","161","78042"
"main","1579443529.45","0","0","1","1","13819","13","a","a","1","154","78712"
"main","1579443529.45","315","z","0","1","14482","12","a","a","3","208","79370"
"main","1579443529.45","0","0","1","3","15194","11","b","a","3","122","80081"
"main","1579443529.45","45","y","0","3","15819","15","a","b","1","127","80707"
"main","1579443529.45","225","y","0","3","16450","9","a","b","1","168","81338"
"main","1579443529.45","135","y","1","3","17122","8","a","b","3","161","82010"
"main","1579443529.45","315","y","1","3","17787","3","b","a","3","105","82681"
"main","1579443529.45","180","z","0","3","18402","4","b","a","1","112","83290"
"main","1579443529.45","315","y","1","1","19018","12","a","a","1","185","83905"
"main","1579443529.45","0","0","1","3","19706","8","b","a","3","144","84594"
"main","1579443529.45","90","y","1","3","20354","15","a","b","3","1386","85249"
"main","1579443529.45","270","z","0","1","22251","16","a","a","3","239","87139"
"main","1579443529.45","45","z","1","1","22994","11","a","a","1","217","87882"
"main","1579443529.45","180","z","0","3","23715","13","b","a","1","277","88605"
"main","1579443529.45","90","z","1","1","24498","6","b","b","1","449","89393"
"main","1579443529.45","270","y","1","1","25458","2","b","b","1","593","90352"
"main","1579443529.45","180","z","0","3","26561","7","a","b","1","737","91449"
"main","1579443529.45","315","z","1","3","27802","5","a","b","3","657","92696"
"main","1579443529.45","45","y","1","3","28969","15","b","a","3","810","93856"
"main","1579443529.45","90","y","1","3","30282","3","a","b","3","714","95169"
"main","1579443529.45","180","y","1","3","31499","11","a","b","3","856","96386"
"main","1579443529.45","225","z","0","3","32858","11","a","b","1","668","97749"
"main","1579443529.45","180","z","1","1","34033","13","a","a","1","753","98922"
"main","1579443529.45","90","y","1","1","35291","12","a","a","1","824","100178"
"main","1579443529.45","270","y","0","1","36618","1","a","a","3","1266","101511"
"main","1579443529.45","315","z","1","1","38393","1","b","b","1","760","103282"
"main","1579443529.45","315","y","1","3","39658","15","a","b","3","993","104545"
"main","1579443529.45","270","z","0","3","41154","5","a","b","1","862","106044"
"main","1579443529.45","180","y","1","3","42522","2","a","b","3","1254","107412"
"main","1579443529.45","180","y","1","1","44282","1","b","b","1","856","109170"
"main","1579443529.45","45","y","0","1","45642","8","b","b","3","1105","110529"
"main","1579443529.45","270","z","1","1","47250","7","b","b","1","802","112144"
"main","1579443529.45","0","0","0","1","48562","4","b","b","3","920","113450"
"main","1579443529.45","135","z","0","3","49986","6","b","a","1","798","114876"
"main","1579443529.45","0","0","0","3","51290","16","b","a","1","1050","116177"
"main","1579443529.45","90","y","1","3","52843","16","a","b","3","1041","117730"
"main","1579443529.45","0","0","0","3","54387","10","a","b","1","825","119274"
"main","1579443529.45","225","z","0","1","55715","3","b","b","3","936","120602"
"main","1579443529.45","315","z","0","3","57154","2","b","a","1","816","122043"
"main","1579443529.45","315","y","0","1","58475","2","b","b","3","872","123362"
"main","1579443529.45","315","y","1","3","59850","5","a","b","3","865","124738"
"questionaire","1579443529.45","Ok","Intro"
"questionaire","1579443529.45","keine Angabe","Experience"
"questionaire","1579443529.45","keine Angabe","Age"
"questionaire","1579443529.45","keine Angabe","Gender"
"questionaire","1579443529.45","Gender!=weiblich","Pill"
"questionaire","1579443529.45","Gender!=weiblich","Period"
"questionaire","1579443529.45","keine Angabe","Sport"
"questionaire","1579443529.45","keine Angabe","Endurance"
"questionaire","1579443529.45","keine Angabe","Strength"
"questionaire","1579443529.45","keine Angabe","Play"
"questionaire","1579443529.45","keine Angabe","Music"
"questionaire","1579443529.45","keine Angabe","Hand"
"questionaire","1579443529.45","keine Angabe","Hand"
"questionaire","1579443529.45","keine Angabe","Hand"
"questionaire","1579443529.45","keine Angabe","Hand"
"questionaire","1579443529.45","keine Angabe","Hand"
"questionaire","1579443529.45","keine Angabe","Hand"
"questionaire","1579443529.45","keine Angabe","Hand"
"questionaire","1579443529.45","keine Angabe","Hand"
"questionaire","1579443529.45","keine Angabe","Hand"
"questionaire","1579443529.45","keine Angabe","Hand"
"questionaire","1579443529.45","keine Angabe","HandExtra"
"questionaire","1579443529.45","keine Angabe","HandExtra"
"questionaire","1579443529.45","End","End"
