"aaBlock","aaID","angle","axis","correct","correct_response","duration","model","orientation","orientationLeftBase","response","response_time","time_Stimulus"
"practice","1579080442.11","225","z","1","1","137","1","b","b","1","1710","6571"
"practice","1579080442.11","270","z","1","1","2883","5","b","b","1","961","9297"
"practice","1579080442.11","180","z","1","1","4881","11","a","a","1","1180","11276"
"practice","1579080442.11","90","y","1","3","7087","12","a","b","3","823","13338"
"practice","1579080442.11","225","z","1","1","8936","7","a","a","1","732","15180"
"practice","1579080442.11","135","y","1","3","10690","5","b","a","3","2066","16935"
"practice","1579080442.11","270","z","1","3","13793","5","a","b","3","952","20046"
"practice","1579080442.11","270","z","1","1","15802","11","a","a","1","977","22049"
"practice","1579080442.11","270","y","1","3","17799","11","a","b","3","863","24043"
"practice","1579080442.11","0","0","1","3","19695","14","b","a","3","675","25941"
"practice","1579080442.11","0","0","1","1","21389","10","a","a","1","898","27632"
"practice","1579080442.11","270","z","1","1","23320","9","b","b","1","788","29564"
"practice","1579080442.11","180","y","1","1","25127","15","a","a","1","1164","31373"
"practice","1579080442.11","315","y","1","3","27323","15","b","a","3","644","33574"
"practice","1579080442.11","270","z","1","1","28998","1","a","a","1","652","35246"
"practice","1579080442.11","225","y","1","3","30668","13","b","a","3","699","36911"
"practice","1579080442.11","90","y","1","3","32389","2","b","a","3","1172","38636"
"practice","1579080442.11","180","z","1","3","34581","4","b","a","3","1003","40823"
"practice","1579080442.11","0","0","1","1","36616","12","b","b","1","763","42863"
"practice","1579080442.11","270","y","1","3","38414","7","b","a","3","694","44659"
"practice","1579080442.11","45","y","1","1","40126","16","a","a","1","575","46371"
"practice","1579080442.11","180","z","1","1","41720","8","a","a","1","905","47977"
"practice","1579080442.11","135","z","1","1","43643","6","a","a","1","912","49890"
"practice","1579080442.11","270","y","1","1","45576","12","b","b","1","764","51821"
"practice","1579080442.11","45","z","1","1","47358","10","b","b","1","735","53603"
"practice","1579080442.11","315","z","1","3","49130","14","a","b","3","755","55374"
"practice","1579080442.11","135","y","1","1","50904","11","b","b","1","1109","57148"
"practice","1579080442.11","90","z","1","1","53050","16","b","b","1","860","59293"
"practice","1579080442.11","270","y","1","3","54944","2","b","a","3","662","61194"
"practice","1579080442.11","180","z","1","1","56625","3","b","b","1","1653","62876"
"practice","1579080442.11","135","z","1","1","59295","14","b","b","1","1279","65555"
"main","1579080442.11","90","z","1","3","133","6","a","b","3","1421","97733"
"main","1579080442.11","270","y","1","1","2103","4","b","b","1","724","99772"
"main","1579080442.11","225","z","1","1","3386","12","a","a","1","2207","100987"
"main","1579080442.11","45","z","1","1","6121","15","b","b","1","673","103721"
"main","1579080442.11","135","z","1","1","7326","8","a","a","1","982","104931"
"main","1579080442.11","225","z","1","1","8849","2","a","a","1","604","106454"
"main","1579080442.11","135","y","1","3","10009","10","b","a","3","823","107618"
"main","1579080442.11","135","y","1","3","11357","12","a","b","3","1019","108974"
"main","1579080442.11","135","z","1","1","12901","10","a","a","1","715","110511"
"main","1579080442.11","90","z","1","3","14140","4","b","a","3","639","111747"
"main","1579080442.11","90","y","1","1","15313","11","a","a","1","680","112913"
"main","1579080442.11","0","0","1","1","16530","13","b","b","1","689","114129"
"main","1579080442.11","270","y","1","1","17745","9","a","a","1","645","115349"
"main","1579080442.11","225","z","1","3","18917","3","b","a","3","1125","116523"
"main","1579080442.11","315","z","1","3","20578","12","a","b","3","1344","118177"
"main","1579080442.11","135","z","1","1","22453","7","b","b","1","817","120057"
"main","1579080442.11","135","y","1","1","23811","11","a","a","1","926","121412"
"main","1579080442.11","90","y","1","1","25260","13","b","b","1","785","122864"
"main","1579080442.11","270","z","1","3","26585","12","a","b","3","936","124193"
"main","1579080442.11","0","0","1","3","28049","7","b","a","3","641","125663"
"main","1579080442.11","270","z","1","3","29229","7","b","a","3","1079","126835"
"main","1579080442.11","90","y","1","1","30836","9","b","b","1","712","128442"
"main","1579080442.11","225","y","1","1","32086","4","b","b","1","865","129695"
"main","1579080442.11","90","y","1","3","33493","10","a","b","3","828","131094"
"main","1579080442.11","315","y","1","3","34858","3","a","b","3","845","132469"
"main","1579080442.11","45","y","1","3","36242","8","a","b","3","824","133842"
"main","1579080442.11","45","y","1","1","37593","8","b","b","1","697","135193"
"main","1579080442.11","180","y","1","1","38835","11","b","b","1","1118","136436"
"main","1579080442.11","135","z","1","3","40475","9","b","a","3","934","138084"
"main","1579080442.11","0","0","1","3","41935","1","a","b","3","648","139544"
"main","1579080442.11","90","z","1","3","43115","1","a","b","3","1653","140715"
"main","1579080442.11","90","z","1","3","45295","13","a","b","3","792","142896"
"main","1579080442.11","180","z","1","1","46614","16","a","a","1","840","144216"
"main","1579080442.11","90","y","1","3","47991","1","b","a","3","1198","145596"
"main","1579080442.11","45","y","1","1","49720","3","a","a","1","667","147319"
"main","1579080442.11","270","y","1","3","50925","16","b","a","3","832","148530"
"main","1579080442.11","135","y","1","3","52279","14","a","b","3","1022","149884"
"main","1579080442.11","45","y","1","1","53839","11","a","a","1","743","151443"
"main","1579080442.11","45","y","1","3","55117","11","b","a","3","613","152725"
"main","1579080442.11","225","z","1","3","56269","5","a","b","3","1078","153868"
"main","1579080442.11","45","z","1","1","57879","11","b","b","1","766","155500"
"main","1579080442.11","315","z","1","1","59171","10","b","b","1","831","156779"
"questionaire","1579080442.11","Ok","Intro"
"questionaire","1579080442.11","nein","Experience"
"questionaire","1579080442.11","56","Age"
"questionaire","1579080442.11","sonstige","Gender"
"questionaire","1579080442.11","Gender!=weiblich","Pill"
"questionaire","1579080442.11","Gender!=weiblich","Period"
"questionaire","1579080442.11","test","Sport"
"questionaire","1579080442.11","55","Endurance"
"questionaire","1579080442.11","2","Strength"
"questionaire","1579080442.11","keine Angabe","Play"
"questionaire","1579080442.11","0","Music"
"questionaire","1579080442.11","0","Hand"
"questionaire","1579080442.11","ll","Hand"
"questionaire","1579080442.11","l","Hand"
"questionaire","1579080442.11","r","Hand"
"questionaire","1579080442.11","rr","Hand"
"questionaire","1579080442.11","0","Hand"
"questionaire","1579080442.11","l","Hand"
"questionaire","1579080442.11","r","Hand"
"questionaire","1579080442.11","ll","Hand"
"questionaire","1579080442.11","rr","Hand"
"questionaire","1579080442.11","r","HandExtra"
"questionaire","1579080442.11","l","HandExtra"
"questionaire","1579080442.11","End","End"
