block	model	mirror	angle	time	response	time2	diff	type
practice	Modell16A	originalZ135	12	93836.2	1	98442.3	4606.1	rm_hit
practice	Modell2A	originalY45	3	99468.7	2	103452.2	3983.5	rm_incorrect
practice	Modell2B	originalZ90	8	104484.6	2	107548.3	3063.7	rm_hit
practice	Modell8B	mirroredY270	25	108584	1	111801.5	3217.5	rm_hit
practice	Modell2B	originalY90	7	112833.4	2	114953	2119.6	rm_hit
practice	Modell6B	mirroredY45	5	115982.9	1	120287.6	4304.7	rm_hit
practice	Modell5A	originalY270	23	121315.5	1	123581.4	2265.9	rm_hit
practice	Modell4B	mirroredY0	2	124615	1	126549	1934	rm_hit
practice	Modell5B	mirroredY135	13	127581.2	1	132902.5	5321.3	rm_hit
practice	Modell11B	mirroredZ45	6	133930.3	1	137430.3	3500	rm_hit
practice	Modell12A	mirroredZ270	26	138462.9	2	143406.3	4943.4	rm_hit
practice	Modell4B	mirroredZ315	30	144428.7	1	148933.2	4504.5	rm_hit
practice	Modell7A	originalY180	15	149961.2	2	156185.8	6224.6	rm_incorrect
practice	Modell11A	mirroredY90	9	157210.2	2	166737.1	9526.9	rm_hit
practice	Modell1A	mirroredZ225	22	167758.6	2	174490.7	6732.1	rm_hit
practice	Modell6A	mirroredY90	9	175524.1	2	177882.7	2358.6	rm_hit
practice	Modell5B	mirroredY0	2	178907	1	181104.6	2197.6	rm_hit
practice	Modell3B	mirroredY180	17	182139.8	2	186763.8	4624	rm_incorrect
practice	Modell8B	originalZ180	16	187789	2	192219.7	4430.7	rm_hit
practice	Modell1A	mirroredY180	17	193254.9	2	201448	8193.1	rm_hit
practice	Modell13B	mirroredZ180	18	202470.2	2	205002.1	2531.9	rm_incorrect
practice	Modell6B	originalZ135	12	206036.3	2	208351.2	2314.9	rm_hit
practice	Modell11B	originalY90	7	209385.8	2	213552.6	4166.8	rm_hit
practice	Modell13A	mirroredY45	5	214585.1	2	217835.5	3250.4	rm_hit
practice	Modell2B	originalZ135	12	218867.8	2	222271.2	3403.4	rm_hit
practice	Modell12A	mirroredY0	2	223300.5	2	225381.6	2081.1	rm_hit
practice	Modell5A	originalZ90	8	226416.7	1	229817.4	3400.7	rm_hit
practice	Modell7A	mirroredZ315	30	230849.3	2	233029.6	2180.3	rm_hit
practice	Modell6A	mirroredZ270	26	234065.5	2	235997.4	1931.9	rm_hit
practice	Modell4B	originalZ180	16	237031.8	2	240375.6	3343.8	rm_hit
practice	Modell1B	originalZ90	8	241397.8	2	244573	3175.2	rm_hit
practice	Modell5B	originalZ315	28	245597.2	2	247071.2	1474	rm_hit
practice	Modell8A	mirroredZ225	22	248096.8	2	251017.8	2921	rm_hit
practice	Modell5A	originalZ180	16	252046.2	1	255208.1	3161.9	rm_hit
practice	Modell9A	mirroredY315	29	256228.9	2	258634.1	2405.2	rm_hit
practice	Modell8B	mirroredY90	9	259661.8	1	274033.2	14371.4	rm_hit
practice	Modell3A	originalY90	7	275059.5	1	280325.5	5266	rm_hit
practice	Modell7B	originalZ315	28	281358.6	2	283803.7	2445.1	rm_hit
practice	Modell3B	mirroredZ45	6	284841.4	1	286903.5	2062.1	rm_hit
practice	Modell13B	mirroredY135	13	287940.9	2	298610.2	10669.3	rm_incorrect
practice	Modell16A	originalZ270	24	299639.2	1	302087.4	2448.2	rm_hit
practice	Modell13B	originalY270	23	303122	2	307542.4	4420.4	rm_hit
practice	Modell12A	mirroredZ225	22	308571.2	2	311804	3232.8	rm_hit
practice	Modell4B	mirroredY180	17	312837.3	2	317108.2	4270.9	rm_incorrect
practice	Modell15B	mirroredY45	5	318136.5	1	322642	4505.5	rm_hit
practice	Modell2A	originalY180	15	323669	1	328749.6	5080.6	rm_hit
practice	Modell4B	originalY270	23	329784.8	2	333531.4	3746.6	rm_hit
practice	Modell14A	mirroredY270	25	334567.4	2	336937	2369.6	rm_hit
practice	Modell13B	originalY135	11	337966.9	2	341750.2	3783.3	rm_hit
practice	Modell3A	originalY270	23	342782.9	1	344941.7	2158.8	rm_hit
practice	Modell16B	mirroredZ135	14	345965.7	1	348755.3	2789.6	rm_hit
practice	Modell9B	mirroredZ315	30	349781.8	1	351743	1961.2	rm_hit
practice	Modell3A	originalY45	3	352764.7	1	356045.8	3281.1	rm_hit
practice	Modell16B	mirroredZ45	6	357080.8	1	360307.9	3227.1	rm_hit
practice	Modell9B	originalZ45	4	361330.1	2	362969.3	1639.2	rm_hit
practice	Modell1A	originalY270	23	363996.4	1	367118.4	3122	rm_hit
practice	Modell3B	mirroredY225	21	368145.8	1	372501.5	4355.7	rm_hit
practice	Modell4A	originalY315	27	373528.3	1	375978.4	2450.1	rm_hit
practice	Modell2A	mirroredZ180	18	377011.2	2	381371.9	4360.7	rm_hit
practice	Modell11B	mirroredZ225	22	382393.7	1	388640.6	6246.9	rm_hit
practice	Modell16A	mirroredZ225	22	389676	2	393482.7	3806.7	rm_hit
practice	Modell16A	originalY180	15	394508.6	1	401026.3	6517.7	rm_hit
practice	Modell3B	mirroredY135	13	402057.5	1	408131.6	6074.1	rm_hit
practice	Modell14B	originalY45	3	409156.4	2	412342	3185.6	rm_hit
practice	Modell9A	originalY180	15	413372.5	1	418560.7	5188.2	rm_hit
practice	Modell16B	originalZ180	16	419588.2	2	422188.2	2600	rm_hit
practice	Modell2B	originalY315	27	423221	2	426765.2	3544.2	rm_hit
practice	Modell8A	originalZ135	12	427787	1	432371.4	4584.4	rm_hit
practice	Modell1B	originalZ135	12	433402.9	2	441322.1	7919.2	rm_hit
practice	Modell5B	originalZ45	4	442351.6	2	444420.8	2069.2	rm_hit
practice	Modell7B	originalY135	11	445451.1	2	449610	4158.9	rm_hit
practice	Modell9A	mirroredY180	17	450633.7	2	454166.7	3533	rm_hit
practice	Modell3B	mirroredY45	5	455199.7	1	461394.4	6194.7	rm_hit
practice	Modell14A	originalY180	15	462431.9	1	467327.2	4895.3	rm_hit
practice	Modell15A	originalZ225	20	468364.4	1	471771.7	3407.3	rm_hit
practice	Modell8B	originalZ270	24	472797.1	2	476083.9	3286.8	rm_hit
practice	Modell11B	originalY270	23	477113.1	2	481924.6	4811.5	rm_hit
practice	Modell15B	originalY135	11	482962.2	2	487561.6	4599.4	rm_hit
practice	Modell6B	mirroredZ135	14	488594.8	1	492739.8	4145	rm_hit
practice	Modell1A	originalZ45	4	493777.3	1	500374.3	6597	rm_hit
practice	Modell4A	mirroredZ90	10	501409.5	2	504165.7	2756.2	rm_hit
practice	Modell1B	mirroredZ90	10	505192.3	1	509730.9	4538.6	rm_hit
practice	Modell6A	originalZ225	20	510758.2	1	513757.5	2999.3	rm_hit
practice	Modell5A	mirroredZ225	22	514790.9	2	517213.2	2422.3	rm_hit
practice	Modell5A	originalZ135	12	518240.4	1	519761.7	1521.3	rm_hit
practice	Modell10A	originalY225	19	520790	1	522911.2	2121.2	rm_hit
practice	Modell2A	originalZ45	4	523939.6	1	526346.5	2406.9	rm_hit
practice	Modell7A	originalY315	27	527372.4	1	529691.5	2319.1	rm_hit
practice	Modell6A	originalY90	7	530721.9	1	534033.5	3311.6	rm_hit
practice	Modell14A	mirroredY135	13	535071.2	2	539701.8	4630.6	rm_hit
practice	Modell14A	mirroredY0	2	540737.1	2	542668.1	1931	rm_hit
practice	Modell14B	originalY315	27	543703.3	2	545777.1	2073.8	rm_hit
practice	Modell9A	originalY90	7	546802.9	1	549355	2552.1	rm_hit
practice	Modell9B	mirroredY90	9	550385.7	1	554747.2	4361.5	rm_hit
practice	Modell11A	originalY225	19	555784.9	1	562228.6	6443.7	rm_hit
practice	Modell14A	mirroredZ45	6	563250.4	2	565276.3	2025.9	rm_hit
practice	Modell4A	originalZ270	24	566300	1	568293.6	1993.6	rm_hit
practice	Modell10A	originalY135	11	569316.2	1	573135.2	3819	rm_hit
practice	Modell3A	originalY225	19	574165.5	1	583633.9	9468.4	rm_hit
practice	Modell2B	mirroredZ225	22	584663.9	2	591093.8	6429.9	rm_incorrect
practice	Modell15B	originalY45	3	592129.5	1	594283.9	2154.4	rm_incorrect
practice	Modell14A	mirroredY180	17	595312.4	2	599073.6	3761.2	rm_hit
practice	Modell12A	mirroredZ180	18	600095	1	605616.8	5521.8	rm_incorrect
practice	Modell5B	originalY0	1	606644.1	2	609795.9	3151.8	rm_hit
practice	Modell11B	originalY45	3	610826.8	2	613567.5	2740.7	rm_hit
practice	Modell9B	originalY315	27	614592.9	2	616584.2	1991.3	rm_hit
practice	Modell8B	originalZ225	20	617609.1	2	621731.2	4122.1	rm_hit
practice	Modell8A	mirroredZ270	26	622758.3	2	627163.7	4405.4	rm_hit
practice	Modell7A	originalZ45	4	628190.9	1	630628.6	2437.7	rm_hit
practice	Modell5B	mirroredY270	25	631657	1	635082.8	3425.8	rm_hit
practice	Modell15B	mirroredZ180	18	636106.4	1	640291.1	4184.7	rm_hit
practice	Modell11A	mirroredY0	2	641322.3	2	643308.3	1986	rm_hit
practice	Modell9A	mirroredZ45	6	644338.5	2	646621.1	2282.6	rm_hit
practice	Modell11B	originalY135	11	647654.7	2	651421.8	3767.1	rm_hit
practice	Modell10A	originalZ135	12	652454	1	655172.8	2718.8	rm_hit
practice	Modell1A	originalZ270	24	656203.4	1	659809.9	3606.5	rm_hit
practice	Modell14A	originalY0	1	660836.1	1	661868.7	1032.6	rm_hit
practice	Modell2B	mirroredZ270	26	662902.4	1	665802.6	2900.2	rm_hit
practice	Modell13B	mirroredZ135	14	666835.2	1	669645.2	2810	rm_hit
practice	Modell2A	mirroredY315	29	670668	2	672988.7	2320.7	rm_hit
practice	Modell8A	mirroredY180	17	674017.5	2	678339.7	4322.2	rm_hit
practice	Modell7B	originalZ180	16	679366.7	2	681896.8	2530.1	rm_hit
practice	Modell3A	mirroredY90	9	682932.8	2	687899.9	4967.1	rm_hit
practice	Modell15A	originalZ135	12	688931.9	1	691609.7	2677.8	rm_hit
practice	Modell16A	mirroredY180	17	692631.4	2	694962.9	2331.5	rm_hit
main	Modell2B	originalZ135	12	709612.2	2	714132.1	4519.9	rm_hit
main	Modell13A	mirroredZ270	26	714661.5	2	717780.5	3119	rm_hit
main	Modell13B	originalZ135	12	718311	2	720787.3	2476.3	rm_hit
main	Modell10A	originalZ180	16	721310.5	1	724914.5	3604	rm_hit
main	Modell3B	originalZ315	28	725443.2	2	727003.8	1560.6	rm_hit
main	Modell4B	mirroredY90	9	727526.3	1	731263.2	3736.9	rm_hit
main	Modell12B	mirroredZ270	26	731792.3	1	734239.1	2446.8	rm_hit
main	Modell4B	mirroredZ180	18	734775.2	1	737551.2	2776	rm_hit
main	Modell15B	mirroredY45	5	738074.7	1	740527.2	2452.5	rm_hit
main	Modell2B	originalZ270	24	741057.6	2	743279	2221.4	rm_hit
main	Modell5A	mirroredZ45	6	743807.2	2	746835.6	3028.4	rm_hit
main	Modell6A	mirroredY90	9	747356.7	2	749556.3	2199.6	rm_hit
main	Modell11B	mirroredY135	13	750089.6	1	757464.3	7374.7	rm_hit
main	Modell6B	mirroredZ315	30	757988.5	1	759665.5	1677	rm_hit
main	Modell16A	mirroredY270	25	760188.1	2	764281.9	4093.8	rm_hit
main	Modell12A	mirroredZ180	18	764804.1	2	768225.4	3421.3	rm_hit
main	Modell14B	mirroredZ270	26	768753.5	1	770905.4	2151.9	rm_hit
main	Modell13B	mirroredZ45	6	771436.5	1	773453.2	2016.7	rm_hit
main	Modell2A	originalY270	23	773986.1	1	782665.7	8679.6	rm_hit
main	Modell3B	originalY270	23	783201.4	2	785906.5	2705.1	rm_hit
main	Modell4B	originalY270	23	786434.3	2	788484.8	2050.5	rm_hit
main	Modell4A	originalY315	27	789017.2	1	791083.6	2066.4	rm_hit
main	Modell6A	originalY180	15	791616.8	1	797524.9	5908.1	rm_hit
main	Modell1B	originalY45	3	798049.2	2	800561.9	2512.7	rm_hit
main	Modell16B	mirroredZ90	10	801098.8	1	805097.4	3998.6	rm_hit
main	Modell15A	originalZ225	20	805631.4	1	809775.4	4144	rm_hit
main	Modell16A	mirroredY90	9	810297.4	2	813271.5	2974.1	rm_hit
main	Modell3B	mirroredY225	21	813796.9	1	816420.7	2623.8	rm_hit
main	Modell7A	mirroredY0	2	816946.4	1	818989	2042.6	rm_incorrect
main	Modell12A	originalZ45	4	819512.7	1	822617	3104.3	rm_hit
main	Modell8A	originalZ180	16	823145.5	1	831534.3	8388.8	rm_hit
main	Modell6A	originalY45	3	832060.9	1	836324.5	4263.6	rm_hit
main	Modell7B	mirroredZ180	18	836860.2	1	842827	5966.8	rm_hit
main	Modell11B	originalY270	23	843359.2	2	847362	4002.8	rm_hit
main	Modell1A	originalY315	27	847891.9	1	849807.7	1915.8	rm_hit
main	Modell13A	mirroredZ225	22	850341.5	2	852620.1	2278.6	rm_hit
main	Modell6B	mirroredZ225	22	853141.1	1	856400.7	3259.6	rm_hit
main	Modell14A	mirroredZ135	14	856923.9	2	859305	2381.1	rm_hit
main	Modell8A	originalY225	19	859840.1	1	863901	4060.9	rm_hit
main	Modell11B	originalY90	7	864422.8	2	868446.1	4023.3	rm_hit
main	Modell12B	originalY225	19	868972.1	2	876242	7269.9	rm_hit
